,id,nome,microrregiao.id,microrregiao.nome,microrregiao.mesorregiao.id,microrregiao.mesorregiao.nome,microrregiao.mesorregiao.UF.id,microrregiao.mesorregiao.UF.sigla,microrregiao.mesorregiao.UF.nome,microrregiao.mesorregiao.UF.regiao.id,microrregiao.mesorregiao.UF.regiao.sigla,microrregiao.mesorregiao.UF.regiao.nome,regiao-imediata.id,regiao-imediata.nome,regiao-imediata.regiao-intermediaria.id,regiao-imediata.regiao-intermediaria.nome,regiao-imediata.regiao-intermediaria.UF.id,regiao-imediata.regiao-intermediaria.UF.sigla,regiao-imediata.regiao-intermediaria.UF.nome,regiao-imediata.regiao-intermediaria.UF.regiao.id,regiao-imediata.regiao-intermediaria.UF.regiao.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.nome
0,3300100,Angra dos Reis,33013,Baía da Ilha Grande,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330002,Angra dos Reis,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
1,3300159,Aperibé,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
2,3300209,Araruama,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
3,3300225,Areal,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330007,Petrópolis,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
4,3300233,Armação dos Búzios,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
5,3300258,Arraial do Cabo,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
6,3300308,Barra do Piraí,33012,Barra do Piraí,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
7,3300407,Barra Mansa,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
8,3300456,Belford Roxo,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
9,3300506,Bom Jardim,33007,Nova Friburgo,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
10,3300605,Bom Jesus do Itabapoana,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
11,3300704,Cabo Frio,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
12,3300803,Cachoeiras de Macacu,33016,Macacu-Caceribu,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330003,Rio Bonito,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
13,3300902,Cambuci,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
14,3300936,Carapebus,33004,Macaé,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
15,3300951,Comendador Levy Gasparian,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330009,Três Rios - Paraíba do Sul,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
16,3301009,Campos dos Goytacazes,33003,Campos dos Goytacazes,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
17,3301108,Cantagalo,33006,Cantagalo-Cordeiro,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
18,3301157,Cardoso Moreira,33003,Campos dos Goytacazes,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
19,3301207,Carmo,33006,Cantagalo-Cordeiro,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
20,3301306,Casimiro de Abreu,33009,Bacia de São João,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
21,3301405,Conceição de Macabu,33004,Macaé,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
22,3301504,Cordeiro,33006,Cantagalo-Cordeiro,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
23,3301603,Duas Barras,33007,Nova Friburgo,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
24,3301702,Duque de Caxias,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
25,3301801,Engenheiro Paulo de Frontin,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
26,3301850,Guapimirim,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
27,3301876,Iguaba Grande,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
28,3301900,Itaboraí,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
29,3302007,Itaguaí,33017,Itaguaí,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
30,3302056,Italva,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
31,3302106,Itaocara,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
32,3302205,Itaperuna,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
33,3302254,Itatiaia,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330005,Resende,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
34,3302270,Japeri,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
35,3302304,Laje do Muriaé,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
36,3302403,Macaé,33004,Macaé,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
37,3302452,Macuco,33006,Cantagalo-Cordeiro,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
38,3302502,Magé,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
39,3302601,Mangaratiba,33017,Itaguaí,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
40,3302700,Maricá,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
41,3302809,Mendes,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
42,3302858,Mesquita,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
43,3302908,Miguel Pereira,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
44,3303005,Miracema,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
45,3303104,Natividade,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
46,3303203,Nilópolis,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
47,3303302,Niterói,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
48,3303401,Nova Friburgo,33007,Nova Friburgo,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
49,3303500,Nova Iguaçu,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
50,3303609,Paracambi,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
51,3303708,Paraíba do Sul,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330009,Três Rios - Paraíba do Sul,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
52,3303807,Paraty,33013,Baía da Ilha Grande,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330002,Angra dos Reis,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
53,3303856,Paty do Alferes,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
54,3303906,Petrópolis,33015,Serrana,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330007,Petrópolis,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
55,3303955,Pinheiral,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
56,3304003,Piraí,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
57,3304102,Porciúncula,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
58,3304110,Porto Real,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330005,Resende,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
59,3304128,Quatis,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330005,Resende,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
60,3304144,Queimados,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
61,3304151,Quissamã,33004,Macaé,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
62,3304201,Resende,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330005,Resende,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
63,3304300,Rio Bonito,33016,Macacu-Caceribu,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330003,Rio Bonito,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
64,3304409,Rio Claro,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
65,3304508,Rio das Flores,33012,Barra do Piraí,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
66,3304524,Rio das Ostras,33009,Bacia de São João,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330014,Macaé - Rio das Ostras,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
67,3304557,Rio de Janeiro,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
68,3304607,Santa Maria Madalena,33008,Santa Maria Madalena,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
69,3304706,Santo Antônio de Pádua,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
70,3304755,São Francisco de Itabapoana,33003,Campos dos Goytacazes,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
71,3304805,São Fidélis,33003,Campos dos Goytacazes,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
72,3304904,São Gonçalo,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
73,3305000,São João da Barra,33003,Campos dos Goytacazes,3302,Norte Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330010,Campos dos Goytacazes,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
74,3305109,São João de Meriti,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
75,3305133,São José de Ubá,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
76,3305158,São José do Vale do Rio Preto,33015,Serrana,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330007,Petrópolis,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
77,3305208,São Pedro da Aldeia,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
78,3305307,São Sebastião do Alto,33008,Santa Maria Madalena,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
79,3305406,Sapucaia,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330009,Três Rios - Paraíba do Sul,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
80,3305505,Saquarema,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
81,3305554,Seropédica,33017,Itaguaí,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
82,3305604,Silva Jardim,33009,Bacia de São João,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330003,Rio Bonito,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
83,3305703,Sumidouro,33007,Nova Friburgo,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
84,3305752,Tanguá,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
85,3305802,Teresópolis,33015,Serrana,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330007,Petrópolis,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
86,3305901,Trajano de Moraes,33008,Santa Maria Madalena,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
87,3306008,Três Rios,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330009,Três Rios - Paraíba do Sul,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
88,3306107,Valença,33012,Barra do Piraí,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
89,3306156,Varre-Sai,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
90,3306206,Vassouras,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
91,3306305,Volta Redonda,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
